animal	Length	Family	Sire	Dam	Salinity	SireID	DamID	Protein	HC	TG	FA	CH	PL
136	0.089	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
137	0.091	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
138	0.07	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
139	0.08	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
140	0.074	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
141	0.076	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
142	0.086	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
143	0.086	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
144	0.089	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
145	0.083	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
146	0.077	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
147	0.093	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
148	0.082	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
149	0.082	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
150	0.076	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
151	0.075	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
152	0.083	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
153	0.085	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
