animal	Length	Family	Sire	Dam	Salinity	SireID	DamID
399	0.067	AW	H	H	H	SH11	DH4
400	0.072	AW	H	H	H	SH11	DH4
401	0.055	AW	H	H	H	SH11	DH4
402	0.06	AW	H	H	H	SH11	DH4
403	0.061	AW	H	H	H	SH11	DH4
404	0.063	AW	H	H	H	SH11	DH4
405	0.056	AW	H	H	H	SH11	DH4
406	0.059	AW	H	H	H	SH11	DH4
407	0.061	AX	H	H	L	SH11	DH5
408	0.052	AX	H	H	L	SH11	DH5
409	0.048	AX	H	H	L	SH11	DH5
410	0.057	AX	H	H	L	SH11	DH5
411	0.056	AX	H	H	L	SH11	DH5
412	0.047	AX	H	H	L	SH11	DH5
413	0.049	AX	H	H	L	SH11	DH5
414	0.053	AX	H	H	L	SH11	DH5
415	0.052	AX	H	H	L	SH11	DH5
416	0.051	AX	H	H	L	SH11	DH5
417	0.042	AX	H	H	L	SH11	DH5
418	0.061	AX	H	H	L	SH11	DH5
419	0.057	AX	H	H	L	SH11	DH5
420	0.053	AX	H	H	L	SH11	DH5
421	0.05	AX	H	H	L	SH11	DH5
422	0.052	AX	H	H	L	SH11	DH5
423	0.054	AX	H	H	L	SH11	DH5
424	0.064	AX	H	H	L	SH11	DH5
425	0.056	AX	H	H	L	SH11	DH5
426	0.05	AX	H	H	L	SH11	DH5
427	0.068	AY	L	L	L	SL6	DL8
428	0.081	AY	L	L	L	SL6	DL8
429	0.098	AY	L	L	L	SL6	DL8
430	0.089	AY	L	L	L	SL6	DL8
431	0.077	AY	L	L	L	SL6	DL8
432	0.083	AY	L	L	L	SL6	DL8
433	0.081	AY	L	L	L	SL6	DL8
434	0.081	AY	L	L	L	SL6	DL8
435	0.096	AY	L	L	L	SL6	DL8
436	0.091	AY	L	L	L	SL6	DL8
437	0.085	AY	L	L	L	SL6	DL8
438	0.073	AY	L	L	L	SL6	DL8
439	0.072	AY	L	L	L	SL6	DL8
440	0.086	AY	L	L	L	SL6	DL8
441	0.071	AY	L	L	L	SL6	DL8
442	0.076	AY	L	L	L	SL6	DL8
443	0.061	AY	L	L	L	SL6	DL8
444	0.094	AY	L	L	L	SL6	DL8
445	0.084	AY	L	L	L	SL6	DL8
446	0.082	AY	L	L	L	SL6	DL8
447	0.083	AY	L	L	L	SL6	DL8
